Campus-TEL 1518616680344 51 17.0
Campus-BHN 1518616680336 11 0.0
Campus-AF-2 1518616680347 136 42.0
Campus-EB 1518616680350 7 0.0
Campus-TEL 1518616740383 76 8.0
Campus-BHN 1518616740381 4 5.0
Campus-AF-2 1518616740385 134 19.0
Campus-EB 1518616740387 5 1.0
Campus-TEL 1518616800469 55 5.0
Campus-BHN 1518616800467 9 6.0
Campus-AF-2 1518616800472 158 33.0
Campus-EB 1518616800475 6 6.0
Campus-TEL 1518616860571 41 13.0
Campus-BHN 1518616860569 11 0.0
Campus-AF-2 1518616860573 123 38.0
Campus-EB 1518616860576 3 0.0
Campus-TEL 1518616920395 45 16.0
Campus-BHN 1518616920392 7 4.0
Campus-AF-2 1518616920398 126 35.0
Campus-EB 1518616920401 4 0.0
Campus-TEL 1518616980589 56 2.0
Campus-BHN 1518616980586 3 4.0
Campus-AF-2 1518616980592 132 17.0
Campus-EB 1518616980596 5 19.0
Campus-TEL 1518617040383 59 18.0
Campus-BHN 1518617040380 8 0.0
Campus-AF-2 1518617040385 129 31.0
Campus-EB 1518617040387 7 0.0
Campus-TEL 1518617100454 55 14.0
Campus-BHN 1518617100452 11 5.0
Campus-AF-2 1518617100457 159 37.0
Campus-EB 1518617100460 4 8.0
Campus-TEL 1518617160430 45 11.0
Campus-BHN 1518617160427 9 10.0
Campus-AF-2 1518617160432 124 43.0
Campus-EB 1518617160435 8 35.0
Campus-TEL 1518617220379 45 11.0
Campus-BHN 1518617220375 8 2.0
Campus-AF-2 1518617220382 127 56.0
Campus-EB 1518617220388 1 7.0
Campus-TEL 1518617280894 38 7.0
Campus-BHN 1518617280892 11 0.0
Campus-AF-2 1518617280896 118 39.0
Campus-EB 1518617280898 3 0.0
Campus-TEL 1518617340325 34 9.0
Campus-BHN 1518617340322 7 7.0
Campus-AF-2 1518617340327 104 26.0
Campus-EB 1518617340330 2 2.0
Campus-TEL 1518617400277 30 9.0
Campus-BHN 1518617400267 1 6.0
Campus-AF-2 1518617400282 126 22.0
Campus-EB 1518617400284 4 0.0
Campus-TEL 1518617460385 35 7.0
Campus-BHN 1518617460382 3 0.0
Campus-AF-2 1518617460392 132 57.0
Campus-EB 1518617460394 4 10.0
Campus-TEL 1518617520398 38 4.0
Campus-BHN 1518617520395 6 0.0
Campus-AF-2 1518617520408 129 52.0
Campus-EB 1518617520410 3 5.0
Campus-TEL 1518617580333 42 25.0
Campus-BHN 1518617580330 4 5.0
Campus-AF-2 1518617580336 136 21.0
Campus-EB 1518617580339 0 0.0
Campus-TEL 1518617640369 28 56.0
Campus-BHN 1518617640365 4 0.0
Campus-AF-2 1518617640371 115 23.0
Campus-TEL 1518617700326 37 27.0
Campus-BHN 1518617700322 3 1.0
Campus-AF-2 1518617700334 137 60.0
Campus-EB 1518617700340 6 0.0
Campus-TEL 1518617760287 40 16.0
Campus-BHN 1518617760285 4 0.0
Campus-AF-2 1518617760290 135 32.0
Campus-EB 1518617760293 1 5.0
Campus-TEL 1518617820353 35 14.0
Campus-BHN 1518617820350 6 0.0
Campus-AF-2 1518617820356 138 23.0
Campus-EB 1518617820359 3 59.0
Campus-TEL 1518617880429 44 13.0
Campus-BHN 1518617880426 9 11.0
Campus-AF-2 1518617880432 143 42.0
Campus-EB 1518617880435 4 0.0
Campus-TEL 1518617940265 45 10.0
Campus-BHN 1518617940262 6 19.0
Campus-AF-2 1518617940270 129 41.0
Campus-EB 1518617940274 7 4.0
Campus-TEL 1518618000463 39 23.0
Campus-BHN 1518618000460 8 33.0
Campus-AF-2 1518618000466 120 53.0
Campus-EB 1518618000469 2 1.0
Campus-TEL 1518618060385 47 9.0
Campus-BHN 1518618060383 7 10.0
Campus-AF-2 1518618060402 109 19.0
Campus-EB 1518618060405 2 3.0
Campus-TEL 1518618120395 42 14.0
Campus-BHN 1518618120392 7 37.0
Campus-AF-2 1518618120400 133 44.0
Campus-EB 1518618120405 4 0.0
Campus-TEL 1518618180363 55 19.0
Campus-BHN 1518618180361 1 1.0
Campus-AF-2 1518618180366 121 39.0
Campus-EB 1518618180369 3 4.0
Campus-TEL 1518618240412 43 14.0
Campus-BHN 1518618240409 8 0.0
Campus-AF-2 1518618240415 108 28.0
Campus-EB 1518618240418 6 0.0
Campus-TEL 1518618300408 46 8.0
Campus-BHN 1518618300405 4 8.0
Campus-AF-2 1518618300411 124 67.0
Campus-EB 1518618300413 2 2.0
Campus-TEL 1518618360390 51 24.0
Campus-BHN 1518618360387 5 0.0
Campus-AF-2 1518618360393 125 36.0
Campus-EB 1518618360396 4 0.0
Campus-TEL 1518618420379 32 23.0
Campus-BHN 1518618420376 7 57.0
Campus-AF-2 1518618420381 120 31.0
Campus-EB 1518618420384 2 11.0
Campus-TEL 1518618480328 41 17.0
Campus-BHN 1518618480326 8 4.0
Campus-AF-2 1518618480331 129 45.0
Campus-EB 1518618480333 9 0.0
Campus-TEL 1518618540577 43 16.0
Campus-BHN 1518618540576 4 5.0
Campus-AF-2 1518618540579 140 23.0
Campus-EB 1518618540581 8 3.0
Campus-TEL 1518618600606 43 4.0
Campus-BHN 1518618600603 2 62.0
Campus-AF-2 1518618600608 148 57.0
Campus-EB 1518618600611 7 0.0
Campus-TEL 1518618660448 34 5.0
Campus-BHN 1518618660445 11 8.0
Campus-AF-2 1518618660451 136 33.0
Campus-EB 1518618660457 4 14.0
Campus-TEL 1518618720357 32 14.0
Campus-BHN 1518618720354 9 9.0
Campus-AF-2 1518618720360 142 44.0
Campus-EB 1518618720369 7 0.0
Campus-TEL 1518618780380 43 16.0
Campus-BHN 1518618780376 2 18.0
Campus-AF-2 1518618780384 126 44.0
Campus-EB 1518618780389 1 10.0
Campus-TEL 1518618840239 35 6.0
Campus-BHN 1518618840236 6 0.0
Campus-AF-2 1518618840242 112 37.0
Campus-EB 1518618840245 3 0.0
Campus-TEL 1518618900315 35 10.0
Campus-BHN 1518618900306 3 12.0
Campus-AF-2 1518618900317 100 47.0
Campus-EB 1518618900320 7 0.0
Campus-TEL 1518618960342 38 19.0
Campus-BHN 1518618960339 6 40.0
Campus-AF-2 1518618960357 114 39.0
Campus-EB 1518618960360 4 7.0
Campus-TEL 1518619020342 51 6.0
Campus-BHN 1518619020339 5 9.0
Campus-AF-2 1518619020345 136 23.0
Campus-EB 1518619020348 6 0.0
Campus-TEL 1518619080601 30 6.0
Campus-BHN 1518619080599 3 3.0
Campus-AF-2 1518619080602 121 51.0
Campus-EB 1518619080604 3 28.0
Campus-TEL 1518619140463 39 9.0
Campus-BHN 1518619140460 4 1.0
Campus-AF-2 1518619140465 121 32.0
